,,,insample,outOfSample,PnL,PPN
ETH,2e-07,2022-08-12,0.07110716906536885,0.0856241698043263,495.6173518114937,0.00016854891702162883
ETH,2e-07,2022-08-13,0.0725800185170391,0.07042897147458338,385.05182427612027,0.00013006815584305157
ETH,2e-07,2022-08-14,0.07080626128066891,0.1603095084468672,444.71835658738024,0.0001425176206363289
ETH,2e-07,2022-08-15,0.07956050548179971,0.07174854392215257,487.7270182277371,0.00014958713513507743
ETH,2e-07,2022-08-16,0.08129645656690443,0.0843480110412047,445.19420860214984,0.00013248072290225068
ETH,2e-07,2022-08-17,0.08310272754305525,0.1188409857099586,485.2485583798538,0.00017204435251979297
ETH,2e-07,2022-08-18,0.08852814401965359,-0.0036709705378230595,116.42265233547056,3.9869181732735205e-05
ETH,2e-07,2022-08-19,0.08808505000320643,0.03732116705662414,277.89825888359985,0.00011114694853604858
ETH,2e-07,2022-08-20,0.07813367891154122,0.1232253693779316,596.2285253388656,0.00020003666368250485
ETH,2e-07,2022-08-21,0.08041537820891032,0.1272353117597721,807.8490072416922,0.0002784910443200044
ETH,2e-07,2022-08-22,0.08507033937761554,0.12254783548801318,712.0711136723335,0.00024548148737801043
ETH,5e-07,2022-08-08,0.05944994134441528,0.06310766815513724,699.4897321126148,0.00023310889161215595
ETH,5e-07,2022-08-09,0.0605254904981537,0.10061556359073687,55.60894315997822,1.8535970798077233e-05
ETH,5e-07,2022-08-10,0.05843835133487285,0.06858682416183792,1009.6860781527317,0.00029687833065745935
ETH,5e-07,2022-08-11,0.05924296695978737,0.06796075168434101,548.5573941294786,0.00017033042177551813
ETH,5e-07,2022-08-12,0.07110716906536885,0.0856241698043263,495.6173518114937,0.00016854891702162883
ETH,5e-07,2022-08-13,0.0725800185170391,0.07042897147458338,385.05182427612027,0.00013006815584305157
ETH,5e-07,2022-08-14,0.07080626128066891,0.1603095084468672,444.71835658738024,0.0001425176206363289
ETH,5e-07,2022-08-15,0.07956044992646505,0.07178090337378251,487.7270182277371,0.00014958713513507743
ETH,5e-07,2022-08-16,0.08129645656690443,0.0843480110412047,445.19420860214984,0.00013248072290225068
ETH,5e-07,2022-08-17,0.08309295324464683,0.11825666007646829,500.77904823450535,0.0001726526163522804
ETH,5e-07,2022-08-18,0.08852814401965359,-0.0036709705378230595,116.42265233547056,3.9869181732735205e-05
ETH,5e-07,2022-08-19,0.08808505000320643,0.03732116705662414,277.89825888359985,0.00011114694853604858
ETH,5e-07,2022-08-20,0.07813367891154122,0.1232253693779316,596.2285253388656,0.00020003666368250485
ETH,5e-07,2022-08-21,0.08027154295663885,0.1265321289483552,835.8360536180643,0.0002861633109608015
ETH,5e-07,2022-08-22,0.08507033937761554,0.12254783548801318,712.0711136723335,0.00024548148737801043
ETH,1e-06,2022-08-08,0.05944994134441528,0.06310766815513724,699.4897321126148,0.00023310889161215595
ETH,1e-06,2022-08-09,0.0605254904981537,0.10061556359073687,55.60894315997822,1.8535970798077233e-05
ETH,1e-06,2022-08-10,0.05843835133487285,0.06858682416183792,1009.6860781527317,0.00029687833065745935
ETH,1e-06,2022-08-11,0.05924296695978737,0.06796075168434101,548.5573941294786,0.00017033042177551813
ETH,1e-06,2022-08-12,0.07110716906536885,0.0856241698043263,495.6173518114937,0.00016854891702162883
ETH,1e-06,2022-08-13,0.0725715125326839,0.0701005449830604,393.3960016669091,0.00013199465620701876
ETH,1e-06,2022-08-14,0.07080626128066891,0.1603095084468672,444.71835658738024,0.0001425176206363289
